name,size(MB),last_modified
DWH/20191311/SL13HRIN.csv.bk1.gz,1.049041748046875e-05,2019-11-13 11:06:38+00:00
DWH/20191311/SL31HRKN.csv.bk1.gz,1.049041748046875e-05,2019-11-13 11:06:38+00:00
DWH/20191311/SL32HRKN.csv.bk1.gz,1.049041748046875e-05,2019-11-13 11:06:38+00:00
DWH/20191311/SL33HRKN.csv.bk1.gz,1.049041748046875e-05,2019-11-13 11:06:38+00:00
DWH/20202701/SL01HRAN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL02HRAN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL11HRIN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL12HRIN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL13HRIN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL31HRKN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL32HRKN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/20202701/SL33HRKN.csv.bk1.gz,1.049041748046875e-05,2020-01-27 02:17:00+00:00
DWH/AN/SL01HR_202001.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
DWH/AN/SL02HR_202002.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
DWH/AN/SL03HR_202003.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
DWH/IN/SL11HR_202001.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
DWH/IN/SL12HR_202002.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
DWH/IN/SL13HR_202003.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
DWH/KN/SL31HR_202001.txt,1.049041748046875e-05,2019-11-12 09:17:56+00:00
